year,month,day,TM,TX,TN,HRM,HRX,HRN,PM,PX,PN,PPT,RS24h,VVM10,DVM10,VVX10,DVVX10
2020,1,1,8.375,12.425,4.9,77.25,89.25,59.5,1010.3333333333334,1011.8000000000001,1009.4,0.0,8.733333333333334,1.5666666666666667,186.33333333333334,6.766666666666666,300.6666666666667
2020,1,2,9.025,13.775,5.324999999999999,78.25,90.0,59.5,1010.0333333333333,1011.6333333333333,1008.8666666666667,0.0,7.6000000000000005,2.8333333333333335,274.0,8.166666666666666,260.6666666666667
2020,1,3,9.325,13.0,6.449999999999999,71.75,88.0,49.75,1009.1666666666666,1010.6999999999999,1007.6,0.0,6.766666666666667,2.733333333333334,289.3333333333333,7.833333333333333,294.3333333333333
2020,1,4,9.9,15.375,5.85,61.0,82.5,40.75,1009.5333333333333,1011.6,1007.7666666666668,0.0,8.933333333333334,3.0666666666666664,291.0,12.566666666666668,299.0
2020,1,5,10.175,15.375,5.775,63.5,86.75,34.75,1007.0333333333333,1008.5,1005.6,0.0,9.233333333333333,2.5,62.666666666666664,10.1,233.0
2020,1,6,9.85,14.725,6.3,72.5,88.75,50.75,1008.0,1009.5,1006.5333333333333,0.0,8.933333333333334,1.366666666666667,118.0,5.033333333333333,224.0
2020,1,7,10.25,15.525,6.375,65.5,89.5,38.0,1008.0,1009.6999999999999,1006.3000000000001,0.0,9.166666666666666,1.9000000000000001,284.6666666666667,6.6000000000000005,282.3333333333333
2020,1,8,10.675,16.2,6.7749999999999995,76.25,92.25,46.75,1008.9333333333334,1010.6,1006.1666666666666,0.0,8.766666666666667,1.4000000000000001,178.66666666666666,6.1000000000000005,138.66666666666666
2020,1,9,10.25,14.45,7.0,82.5,94.0,64.5,1005.6333333333333,1009.0333333333333,1002.5333333333333,0.03333333333333333,8.266666666666666,2.3333333333333335,253.33333333333334,7.766666666666667,234.0
2020,1,10,9.325,11.15,7.275,84.75,97.5,71.5,1004.6,1007.7666666666668,1002.3000000000001,15.433333333333332,2.433333333333333,2.8666666666666667,236.0,8.5,313.0
2020,1,11,7.9,11.225,5.125,71.5,90.75,50.5,1008.5666666666666,1010.2333333333332,1007.2666666666668,0.0,9.533333333333333,3.366666666666667,323.6666666666667,9.733333333333333,310.3333333333333
2020,1,12,8.375,14.175,4.425,66.5,84.0,43.5,1008.0666666666666,1009.9,1006.3000000000001,0.0,9.833333333333334,2.6333333333333333,274.3333333333333,7.5,305.6666666666667
2020,1,13,8.75,12.775,5.5,60.0,86.0,38.0,1002.9333333333334,1006.4333333333334,1000.3333333333334,0.0,8.966666666666667,3.6333333333333333,274.3333333333333,9.633333333333333,319.6666666666667
2020,1,14,9.700000000000001,15.075,5.699999999999999,65.5,88.25,36.5,1000.5666666666666,1001.9333333333334,999.3666666666668,0.0,9.933333333333334,3.1333333333333333,269.3333333333333,9.266666666666667,298.3333333333333
2020,1,15,9.8,14.8,6.25,68.75,89.0,41.25,1003.2333333333332,1006.2666666666668,1001.1333333333333,0.0,8.9,2.266666666666667,260.3333333333333,7.3,239.0
2020,1,16,10.7,15.275,6.75,74.25,93.75,50.75,1006.1999999999999,1007.6666666666666,1004.9,0.0,9.6,1.8999999999999997,257.0,6.433333333333334,221.33333333333334
2020,1,17,12.45,17.525000000000002,8.725000000000001,63.25,92.25,40.25,1004.9333333333334,1008.9333333333334,1002.6,0.0,9.833333333333334,3.0,277.3333333333333,12.5,276.6666666666667
2020,1,18,10.85,15.075,7.925,65.0,83.5,40.0,1005.1,1009.1333333333332,999.1,0.0,9.200000000000001,2.466666666666667,286.3333333333333,8.033333333333333,179.66666666666666
2020,1,19,9.925,11.275,8.075,49.0,91.25,22.5,999.5,1002.8333333333334,997.5333333333333,1.5,3.9333333333333336,6.2,56.666666666666664,21.8,48.0
2020,1,20,8.675,10.05,6.975,56.5,89.5,28.0,1003.6333333333333,1005.9666666666667,1000.6333333333333,5.066666666666666,4.0,9.4,54.666666666666664,23.0,40.0
2020,1,21,9.875,11.575,6.925,92.0,98.0,86.0,1002.0333333333333,1004.7333333333332,999.5,62.43333333333334,0.3,10.233333333333334,63.333333333333336,24.53333333333333,71.0
2020,1,22,12.25,13.7,9.1,92.75,98.25,85.5,999.7666666666668,1001.9,997.8000000000001,9.9,1.0333333333333334,5.566666666666666,65.0,15.466666666666669,82.0
2020,1,23,11.825,15.025,8.925,84.75,98.75,59.25,999.9666666666667,1002.6,995.9666666666667,18.366666666666667,8.833333333333334,2.533333333333333,197.0,16.0,76.0
2020,1,24,11.025,16.225,7.375,73.5,89.5,52.25,1000.6666666666666,1002.4333333333334,999.1666666666666,0.0,9.833333333333334,1.7333333333333334,252.33333333333334,5.533333333333332,277.0
2020,1,25,11.35,13.775,8.975,85.5,94.75,67.0,999.1666666666666,1001.0,997.3000000000001,0.0,4.533333333333334,1.6000000000000003,53.0,4.8,67.33333333333333
2020,1,26,11.475,16.325,9.05,82.25,95.0,57.0,999.0,1002.1999999999999,996.6333333333332,0.6666666666666666,8.9,2.2666666666666666,318.3333333333333,7.766666666666667,301.6666666666667
